file,line,function,code,description,pattern
gx1/policy/exit_hybrid_controller.py,145,unknown,"""spread_pct"": spread_pct,",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,167,unknown,"""spread_pct"": ctx.spread_pct,",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,199,unknown,"""[HYBRID_EXIT] mode=%s version=%s session=%s regime=%s atr_bps=%.2f atr_pct=%.1f spread_bps=%.2f spr",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,207,unknown,"spread_pct if spread_pct is not None else float(""nan""),",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,232,unknown,"spread_pct=spread_pct,",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,252,unknown,"""[HYBRID_EXIT] mode=%s version=%s session=%s regime=%s atr_bps=%.2f atr_pct=%.1f spread_bps=%.2f spr",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,260,unknown,"spread_pct if spread_pct is not None else float(""nan""),",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,285,unknown,"spread_pct=spread_pct,",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,300,unknown,"""[HYBRID_EXIT] mode=%s version=%s session=%s regime=%s atr_bps=%.2f atr_pct=%.1f spread_bps=%.2f spr",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,308,unknown,"spread_pct if spread_pct is not None else float(""nan""),",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,319,unknown,spread_pct_val = 50.0 if spread_pct is None else spread_pct,spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,325,unknown,and spread_pct_val <= self.thresholds.max_spread_pct,spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,332,unknown,"""[HYBRID_EXIT] mode=%s version=%s session=%s regime=%s atr_bps=%.2f atr_pct=%.1f spread_bps=%.2f spr",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_hybrid_controller.py,340,unknown,"spread_pct_val,",spread calculation,spread_raw|spread_price|spread_pct
gx1/policy/exit_farm_v2_rules_adaptive.py,109,_maybe_log_state,"exit_price = float(price_bid if self.side == ""long"" else price_ask)",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules_adaptive.py,111,_exit_decision,"exit_price=exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_fixed_bar.py,79,unknown,"exit_price = float(price_bid if state_side == ""long"" else price_ask)",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_fixed_bar.py,88,unknown,"exit_price=exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,155,unknown,"self.entry_price = entry_ask if side == ""long"" else entry_bid",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,167,unknown,"f""[EXIT_FARM_V2_RULES] Reset: side={side}, entry_price={self.entry_price:.5f}, """,entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,233,unknown,"exit_price = float(price_bid if self.side == ""long"" else price_ask)",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,235,unknown,"exit_price=exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,253,unknown,"exit_price = float(price_bid if self.side == ""long"" else price_ask)",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,255,unknown,"exit_price=exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,276,unknown,"exit_price = float(price_bid if self.side == ""long"" else price_ask)",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,278,unknown,"exit_price=exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,298,unknown,"exit_price = float(price_bid if self.side == ""long"" else price_ask)",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,300,unknown,"exit_price=exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,315,unknown,"exit_price = float(price_bid if self.side == ""long"" else price_ask)",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,317,unknown,"exit_price=exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/policy/exit_farm_v2_rules.py,364,_maybe_log_decision,"""entry_price=%.5f exit_price=%.5f pnl_bps=%.2f bars=%d mfe=%.2f mae=%.2f"",",entry/exit price assignment,entry_price\s*=|exit_price\s*=
