threshold,ev_trade,ev_day,baseline_ev_trade,oracle_ev_trade,uplift_vs_baseline,pct_rule6a,n_trades
0.05,150.35360336788776,185.22943920064523,169.8717067630729,190.89113767382517,-19.518103395185136,72.38493723849372,239
0.1,150.35360336788776,185.22943920064523,169.8717067630729,190.89113767382517,-19.518103395185136,72.38493723849372,239
0.15,150.35360336788776,185.22943920064523,169.8717067630729,190.89113767382517,-19.518103395185136,72.38493723849372,239
0.2,168.34245504205916,207.39096265490795,169.8717067630729,190.89113767382517,-1.5292517210137362,32.63598326359833,239
0.25,168.34245504205916,207.39096265490795,169.8717067630729,190.89113767382517,-1.5292517210137362,32.63598326359833,239
0.3,168.34245504205916,207.39096265490795,169.8717067630729,190.89113767382517,-1.5292517210137362,32.63598326359833,239
0.35,168.34245504205916,207.39096265490795,169.8717067630729,190.89113767382517,-1.5292517210137362,32.63598326359833,239
0.39999999999999997,168.34245504205916,207.39096265490795,169.8717067630729,190.89113767382517,-1.5292517210137362,32.63598326359833,239
0.44999999999999996,168.34245504205916,207.39096265490795,169.8717067630729,190.89113767382517,-1.5292517210137362,32.63598326359833,239
0.49999999999999994,168.34245504205916,207.39096265490795,169.8717067630729,190.89113767382517,-1.5292517210137362,32.63598326359833,239
0.5499999999999999,167.54874831780603,206.41314870080228,169.8717067630729,190.89113767382517,-2.3229584452668632,29.288702928870293,239
0.6,167.54874831780603,206.41314870080228,169.8717067630729,190.89113767382517,-2.3229584452668632,29.288702928870293,239
0.65,167.54874831780603,206.41314870080228,169.8717067630729,190.89113767382517,-2.3229584452668632,29.288702928870293,239
0.7,176.96708351645955,218.01614928058677,169.8717067630729,190.89113767382517,7.09537675338666,10.0418410041841,239
0.75,176.96708351645955,218.01614928058677,169.8717067630729,190.89113767382517,7.09537675338666,10.0418410041841,239
0.7999999999999999,176.96708351645955,218.01614928058677,169.8717067630729,190.89113767382517,7.09537675338666,10.0418410041841,239
0.85,176.96708351645955,218.01614928058677,169.8717067630729,190.89113767382517,7.09537675338666,10.0418410041841,239
0.9,169.8717067630729,209.27493771327022,169.8717067630729,190.89113767382517,0.0,0.0,239
0.95,169.8717067630729,209.27493771327022,169.8717067630729,190.89113767382517,0.0,0.0,239
