=== KANDIDAT-UBRUKTE FUNKSJONER (GROVT) ===
MULIG UBRUKT FUNKSJON: train_models  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: evaluate_router_model  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: export_tree_rules  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: threshold_sweep  (modul=gx1/analysis/router_threshold_sweep.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_file_hash  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: load_run_header  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: load_prod_policy  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: verify_policy_parity  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: verify_entry_model_proof  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: verify_runtime_pipeline_proof  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: load_metrics  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: generate_report  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/prod_baseline_proof.py, treff=0)
MULIG UBRUKT FUNKSJON: load_run_header  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: find_policy_file  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: load_yaml_config  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: normalize_config_for_hash  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: json_serializer  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: normalize_paths  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_file_hash  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_config_hash  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: load_effective_config_bundle  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_entry_model_truth  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_router_truth  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: scan_price_source_logic  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: analyze_price_source_contract  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: analyze_price_data_parity  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_warmup_state  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_gate_throttle_config  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_trades_per_day  (modul=gx1/analysis/parity_audit.py, treff=0)
